Word,POS,Lemma
بنے,VB,بن
غم,NN,غم
مقامی,ADJ,مقامی
خراب,ADJ,خراب
برس,NN,برس
کمپیوٹر,NN,كمپيوٹر
سابق,ADJ,سابق
درخواست,NN,درخواست
کتنی,Q,کتنی
ٹیگ,PN,ٹیگ
درد,NN,درد
آخر,NN,آخر
روپے,NN,روپیہ
موجودہ,ADJ,موجودہ
آزاد,ADJ,آزاد
ہوجائے,VB,ہوجائے
شائع,ADJ,شائع
مرد,NN,مرد
سبب,NN,سبب
آزادی,NN,آزاد
معنی,NN,معنی
من,U,من
آخر,ADJ,آخر
شوق,NN,شوق
ایران,PN,ايرآن
کھانے,NN,کھا
بنیادی,ADJ,بنیاد
دکھائی,VB,دکھا
گر,VB,گر
چھوٹی,ADJ,چھوٹی
بتائیں,VB,بتا
احساس,NN,احساس
لیئے,ADV,لے
مذہبی,ADJ,مذہب
منظر,NN,منظر
کورٹ,PN,کورٹ
شمار,NN,شمار
کھلاڑی,NN,کھلاڑی
پڑ,AA,پڑ
حکام,NN,حاکم
بیوی,NN,بیوی
آیت,NN,آیت
باپ,NN,باپ
بدل,VB,بدل
ملنے,VB,مل
ہوگیا,VB,ہوگيا
ملتا,VB,مل
گل,NN,گل
بیٹھ,VB,بیٹھ
پچھلے,ADJ,پچھلا
انکار,NN,انکار
دم,NN,دم
زخمی,ADJ,زخم
عید,NN,عید
دوستوں,NN,دوست
خط,NN,خط
لکھی,VB,لکھ
حضور,PN,حضور
پڑی,AA,پڑ
چاہتا,AA,چاہ
کمال,NN,کمال
اگلے,ADJ,اگلا
لڑکی,NN,لڑکی
حیثیت,NN,حیثیت
تبدیلی,NN,تبدیل
افسوس,NN,افسوس
خدمت,NN,خدمتِ
عرصہ,NN,عرصہ
کریم,NN,کریم
انصاف,NN,انصاف
میدان,NN,میدان
کتب,NN,کتاب
بہ,P,بہ
الدین,PN,الدین
ہندوستان,PN,ہندوستان
بہن,NN,بہن
کیسی,AKP,کیسی
تحقیق,NN,تحقیق
بھیا,PN,بھیا
عالم,NN,عالم
حقوق,NN,حق
آگ,NN,آگ
شدہ,ADJ,شدہ
نتیجہ,NN,نتیجہ
معاشرے,NN,معاشرہ
سربراہ,NN,سربراہ
عجیب,ADJ,عجیب
چین,PN,چین
درجہ,NN,درجہ
گرد,NN,گرد
تبصرہ,NN,تبصرہ
وسلم,NN,وسلم
سکیورٹی,NN,سکیورٹی
گردی,NN,گردی
تھوڑی,Q,تھوڑا
رکن,NN,رکن
محفوظات,NN,محفوظ
چاند,NN,چاند
مناسب,ADJ,مناسب
گزر,VB,گزر
عقل,NN,عقل
رب,NN,رب
بلند,ADJ,بلند
ابو,PN,ابو
تعریف,NN,تعریف
وجود,NN,وجود
پائے,VB,پایا
مال,NN,مال
زمانہ,NN,زمانہ
اِس,PD,اِس
یو,PN,یو
چنانچہ,SC,چنانچہ
شکست,NN,شکست
سوچا,VB,سوچ
محنت,NN,محنت
لوں,VB,لیا
کھڑے,ADJ,کھڑا
ووٹ,NN,ووٹ
حیرت,NN,حیرت
مصروف,ADJ,مصروف
پا,VB,پا
تقریباً,ADV,تقریبا
ترین,ADJ,ترین
درج,ADJ,درج
آنکھیں,NN,آنکھ
اختلاف,NN,اختلاف
رکھیں,VB,رکھ
نہایت,ADV,نہایت
فونٹ,NN,فونٹ
لائبریری,NN,لايبریری
تازہ,ADJ,تازہ
چلی,VB,چل
تقسیم,NN,تقسیم
برا,ADJ,برا
موسم,NN,موسم
کیو,PN,كیو
دشمن,NN,دشمن
سطح,NN,سطح
رضی,NN,رضی
اتفاق,NN,اتفاق
انتخابات,NN,انتخاب
دھاگہ,NN,دھاگہ
وطن,NN,وطن
شدید,ADJ,شدید
فیس,NN,فیس
آف,PN,آف
جانتا,VB,جان
طریقے,NN,طریقہ
حملوں,NN,حملہ
ساری,ADJ,ساری
کپ,NN,کپ
کارروائی,NN,کارروائی
مقابلہ,NN,مقابلہ
حضرات,NN,حضرت
تصور,NN,تصور
کتنا,AKP,کتنا
دعوت,NN,دعوت
خواہش,NN,خواہش
طلب,NN,طلب
ثبوت,NN,ثبوت
لوڈ,NN,لوڈ
واقع,ADJ,واقع
مراد,NN,مراد
عرصے,NN,عرصہ
ایف,PN,ایف
تیز,ADJ,تیز
لکھتے,VB,لكھ
اہلکار,NN,اہلکار
آسٹریلیا,PN,آسٹریلیا
نبی,PN,نبی
روزہ,NN,روزہ
حضور,NN,حضور
جنوبی,PN,جنوبی
دراصل,ADV,دراصل
پوچھ,VB,پوچھ
سیریز,NN,سیریز
ذات,NN,ذات
قابل,ADJ,قابل
چاہتا,VB,چاہ
بلوچستان,NN,بلوچستان
عزت,NN,عزت
کامیابی,NN,کامیابی
لگایا,VB,لگا
تفصیل,NN,تفصیل
خانہ,NN,خانہ
جسم,NN,جسم
دفتر,NN,دفتر
بولا,VB,بول
اسمبلی,NN,اسمبلی
دماغ,NN,دماغ
پابندی,NN,پابند
تبصرے,NN,تبصرہ
اﷲ,PN,اﷲ
ہفتے,NN,ہفتہ
صورتحال,NN,صورتحال
راستے,NN,راستہ
ھ,CA,ھ
طاقت,NN,طاقت
خوف,NN,خوف
اہمیت,NN,اہمیت
اخبار,NN,اخبار
متحدہ,NN,متحدہ
غائب,ADJ,غائب
مولانا,PN,مولانا
ملتی,VB,مل
جنت,NN,جنت
مشرف,NN,مشرف
معذرت,NN,معذرت
استاد,NN,استاد
مضمون,NN,مضمون
کرکٹ,PN,کرکٹ
شیخ,NN,شیخ
پہنچے,VB,پہنچ
فرماتے,VB,فرما
مشورہ,NN,مشورہ
کراچی,NN,کراچی
موبائل,NN,موبائل
خاندان,NN,خاندان
بنی,VB,بن
پیار,NN,پیار
نبیل,PN,نبیل
آر,PN,آر
راستہ,NN,راستہ
کافی,ADV,کافی
شخصیت,NN,شخصیت
مالک,NN,مالک
آن,PN,وہ
منتخب,ADJ,منتخب
ربط,NN,ربط
حساب,NN,حساب
دیکھی,VB,دیکھ
ظلم,NN,ظلم
ایل,PN,ایل
بلے,NN,بلا
ایچ,PN,ایچ
لنکا,PN,لنکا
تنقید,NN,تنقید
؛,PM,؛
فیصلے,NN,فیصلہ
طے,NN,طے
تنظیم,NN,تنظیم
بننے,VB,بن
آبادی,NN,آبادی
یوسف,PN,يوسف
الیکشن,NN,الیکشن
دیکھنا,VB,دیکھ
پنجاب,NN,پنجاب
روشن,ADJ,روشن
اُسے,PP,اُس
فرما,VB,فرما
آنکھ,NN,انکھ
نشانہ,NN,نشانہ
چلتا,VB,چل
لکھنا,VB,لكھ
فتح,NN,فتح
گروپ,NN,گروپ
پیسے,NN,پیسہ
چیزیں,NN,چيز
روح,NN,روح
بیٹا,NN,بیٹا
پڑے,VB,پڑا
چکر,NN,چکر
متاثر,ADJ,متاثر
بال,NN,بال
اشعار,NN,شعر
لکھے,VB,لکھ
اسرائیل,PN,اسرائیل
ہدایت,NN,ہدایت
کمپنی,NN,کمپنی
وضاحت,NN,وضاحت
بارش,NN,بارش
انتہائی,ADJ,انتہا
رقم,NN,رقم
ٹیگ,ADJ,ٹیگ
آپریشن,NN,آپریشن
غریب,ADJ,غریب
محمد,ADJ,محمد
افریقہ,PN,افریقہ
بنائی,VB,بن
اراکین,NN,رکن
امیر,ADJ,امیر
بورڈ,NN,بورڈ
ریاست,NN,ریاست
مرضی,NN,مرضی
معاملات,NN,معاملہ
آسانی,NN,آسان
اداروں,NN,ادارہ
امریکی,PN,امریکہ
ذرائع,NN,ذریعہ
جدید,ADJ,جدید
گاؤں,NN,گاؤں
بہرحال,ADV,بہرحال
کتابوں,NN,کتاب
ماضی,NN,ماضی
تسلیم,NN,تسلیم
گرفتار,ADJ,گرفتار
تعبیر,NN,تعبیر
رابطہ,NN,رابطہ
مطالعہ,NN,مطالعہ
متفق,ADJ,متفق
ابو,NN,ابو
لینڈ,PN,لینڈ
سالگرہ,NN,سالگرہ
انٹرویو,NN,انٹرویو
نبی,NN,نبی
قیام,NN,قیام
غلام,NN,غلام
پڑا,AA,پڑ
کتابیں,NN,كتاب
عربی,ADJ,عرب
تجربہ,NN,تجربہ
نتیجے,NN,نتيجہ
کھول,VB,كھول
اقبال,NN,اقبال
بازی,NN,بازی
پسندوں,NN,پسند
مستقبل,NN,مستقبل
فن,NN,فن
ارادہ,NN,ارادہ
منظور,ADJ,منظور
والد,NN,والد
الاقوامی,NN,الاقوامی
عورتوں,NN,عورت
جملہ,NN,جملہ
علاج,NN,علاج
عزیز,PN,عزیز
ہوگئے,VB,ہوگیا
اجلاس,NN,جلسہ
سمجھتا,VB,سمجھ
حصے,NN,حصہ
فہرست,NN,فہرست
کائنات,NN,کائنات
گیند,NN,گيند
بندی,NN,بندی
حمایت,NN,حمایت
ملکی,ADJ,ملک
برابر,ADJ,برابر
باز,NN,باز
سکول,NN,سكول
بازار,NN,بازار
نیک,ADJ,نیک
قیمت,NN,قیمت
سائنس,NN,سائنس
بیٹے,NN,بیٹا
ہوگی,TA,ہوگیا
سمجھنے,VB,سمجھ
منتقل,ADJ,منتقل
شہزاد,NN,شہزاد
ہمت,NN,ہمت
سوالات,NN,سوال
بچہ,NN,بچہ
مجبور,ADJ,مجبور
اعتراض,NN,اعتراض
نقل,NN,نقل
بھارتی,ADJ,بھارت
مغربی,ADJ,مغرب
پاکستانی,NN,پاکستان
مسلسل,ADJ,مسلسل
خاتون,NN,خاتون
بھیج,VB,بھیج
لحاظ,NN,لحاظ
تنگ,ADJ,تنگ
فرض,NN,فرض
جھوٹ,NN,جھوٹ
رو,PN,رو
لگانے,VB,لگ
کمیٹی,NN,کمیٹی
تباہ,ADJ,تباہ
چیک,NN,چیک
باب,NN,باب
مذاکرات,NN,مذاکرہ
ترجمان,NN,ترجمان
نگار,NN,نگار
مختصر,ADJ,مختصر
مان,VB,مان
مذاق,NN,مذاق
احباب,NN,احباب
اعلیٰ,ADJ,اعلیٰ
پی,CA,پی
اصلاح,NN,اصلاح
غصہ,NN,غصہ
وزن,NN,وزن
دھماکے,NN,دھماکہ
کالج,NN,کالج
پھول,NN,پھول
حوصلہ,NN,حوصلہ
بری,ADJ,بری
بنانا,VB,بن
ریکارڈ,NN,ریکارڈ
قابل,NN,قابل
اصول,NN,اصول
سامنا,NN,سامنا
مزے,NN,مزہ
ڈاکٹر,PN,ڈاکٹر
سعودی,PN,سعودی
طویل,ADJ,طویل
زائد,ADJ,زائد
لینا,VB,لیا
خاموش,ADJ,خاموش
ڈالر,NN,ڈالر
رخ,NN,رخ
نیند,NN,نیند
کارکردگی,NN,کارکردگی
اعتبار,NN,اعتبار
مخالف,ADJ,مخالف
لائن,NN,لائن
جہاد,NN,جہاد
ھے,NN,ھے
احتجاج,NN,احتجاج
کھلاڑیوں,NN,کھلاڑی
قیامت,NN,قیامت
آہستہ,ADJ,آہستہ
واپسی,NN,واپس
آرام,NN,آرام
پناہ,NN,پناہ
امت,NN,امت
خطاب,NN,خطاب
بندے,NN,بندا
عالم,ADJ,عالم
رحمت,NN,رحمت
رشتہ,NN,رشتہ
بل,NN,بل
دلچسپی,NN,دلچسپ
جنرل,PN,جنرل
آمد,NN,آمد
انڈیا,PN,انڈیا
سنت,NN,سنت
بالا,NN,بالا
رہنما,NN,رہنما
ٹیم,PN,ٹیم
يہ,CA,یہ
انٹرنیٹ,NN,انٹرنیٹ
اقبال,PN,اقبال
منزل,NN,منزل
مر,VB,مر
مضامین,NN,مضمون
اوور,NN,اوور
مخصوص,ADJ,مخصوص
دیکھے,VB,دیکھ
عظیم,ADJ,عظیم
تعمیر,NN,تعمیر
آسمان,NN,آسمان
صوبہ,NN,صوبہ
پریس,NN,پریس
مطالبہ,NN,مطالبہ
خیالات,NN,خيال
انتہائی,ADV,انتہا
پڑتا,AA,پڑ
سعید,PN,سعید
پرانی,ADJ,پرانا
عنوان,NN,عنوان
بطور,ADV,بطور
سنی,VB,سن
تصدیق,NN,تصدیق
مشتمل,ADJ,مشتمل
چہرے,NN,چہرا
رفتار,NN,رفتار
تکلیف,NN,تکلیف
قیادت,NN,قیادت
محدود,ADJ,محدود
حرف,NN,حرف
کشمیر,NN,کشمیر
بول,VB,بول
جان,VB,جان
بیٹی,NN,بیٹا
گرم,ADJ,گرم
عادت,NN,عادت
لائن,PN,لائن
صبر,NN,صبر
تعالی,NN,تعالیٰ
سالہ,ADJ,سالہ
حیات,NN,حیات
دستیاب,ADJ,دستیاب
چھوٹا,ADJ,چھوٹا
شریک,ADJ,شریک
امین,PN,امین
تجویز,NN,تجویز
پرانے,ADJ,پرانا
سوات,NN,سوات
ہوسکتا,VB,ہوسکا
شیر,NN,شیر
حقیقی,ADJ,حقیقی
سپریم,PN,سپریم
سامان,NN,سامان
جنرل,ADJ,جنرل
خانے,NN,خانہ
کھانے,VB,کھا
اطلاع,NN,اطلاع
کھل,VB,كھل
مرزا,PN,مرزا
ذریعہ,NN,ذریعہ
تعلقات,NN,تعلق
دیکھتا,VB,ديكھ
حوالہ,NN,حوالہ
خصوصی,ADJ,خصوصی
کرام,PN,کرام
سندھ,NN,سندھ
برداشت,NN,برداشت
پیغامات,NN,پيغام
کالم,NN,كالم
اچانک,ADV,اچانک
آؤٹ,NN,آؤٹ
نسل,NN,نسل
تشدد,NN,تشدد
